method,max_successful_input_length,memory_slope_mb_per_input_token,prefill_slope_ms_per_input_token,median_memory_savings_pct,median_throughput_loss_pct,median_extra_ms_per_token
baseline_fp16,4096,0.3817541939871652,0.08041188811385477,0.0,0.0,0.0
int3,4096,0.25322396414620535,0.08015480877973791,1.3737821700235122,68.43790474885871,78.16909612276014
int4,4096,0.22197396414620535,0.0831984463355888,1.6939407106935747,89.05289587449849,291.88974336508323
int8,4096,0.25322396414620535,0.08049681519716774,1.3737821700235122,68.6100289455247,78.38529050304145
paged_vllm,4096,0.11330413818359375,0.0665202249018919,-116.29826617514898,-125.34969472962881,-19.826002712083525
