model_name,device,dtype,input_length,max_new_tokens,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,1,3.600301032999994,128,35.55258263871965,36.296430079308266,2215.8193359375,0.07378341899999441,3.5265176139999994,0.07378341899999441,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,2,3.55303831599997,128,36.02550510744368,36.50971744778816,2215.8193359375,0.04712238599995544,3.5059159300000147,0.04712238599995544,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,3,3.586033089999944,128,35.69403761413758,36.20742787134298,2215.8193359375,0.050846871999965515,3.5351862179999785,0.050846871999965515,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,1,3.6296505939999975,128,35.26510243481582,36.326344770093684,2322.8271484375,0.10603706199998442,3.523613532000013,0.10603706199998442,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,2,3.7017739780000056,128,34.578016043312246,35.65127792958287,2322.8271484375,0.11143984599999612,3.5903341320000095,0.11143984599999612,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,3,3.6893303510000237,128,34.69464315259937,35.7912707803991,2322.8271484375,0.11303933900001084,3.576291012000013,0.11303933900001084,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,1,3.7638437540000496,128,34.00778788013375,35.61395689502163,2429.3349609375,0.1697471930000347,3.594096561000015,0.1697471930000347,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,2,3.7186450380000338,128,34.42113960649525,36.09117399179554,2429.3349609375,0.17207157300003928,3.5465734649999945,0.17207157300003928,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,3,3.693243951999989,128,34.65787845687384,36.357384525448566,2429.3349609375,0.17263866999996935,3.5206052820000195,0.17263866999996935,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,1,3.7768986579999932,128,33.89023947700537,36.14226893997502,2536.3427734375,0.23533904499998926,3.541559613000004,0.23533904499998926,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,2,3.7503438850000066,128,34.130203502658205,36.400812855062846,2536.3427734375,0.2339388940000049,3.5164049910000017,0.2339388940000049,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,128,3,3.734874944000012,128,34.27156248045974,36.56533200228194,2536.3427734375,0.23429138599999533,3.5005835580000166,0.23429138599999533,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,128,1,3.5532320009999694,128,36.0235413741567,36.40099098819984,2162.8154296875,0.036844217999941975,3.5163877830000274,0.036844217999941975,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,128,2,3.5596280439999646,128,35.95881322930752,36.276828499821924,2162.8154296875,0.031204935000005207,3.5284231089999594,0.031204935000005207,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,128,3,3.5547967190000236,128,36.00768486024901,36.31805726367448,2162.8154296875,0.030379124999853957,3.5244175940001696,0.030379124999853957,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,1,3.5952664000001278,128,35.60236871459524,36.12371823625078,2215.8193359375,0.05188808100001552,3.5433783190001122,0.05188808100001552,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,2,3.6164698380000573,128,35.39363128513889,35.88820881608543,2215.8193359375,0.049838785000019925,3.5666310530000374,0.049838785000019925,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,3,3.7148639269998966,128,34.45617457740157,34.929496244485854,2215.8193359375,0.05033927699992091,3.6645246499999757,0.05033927699992091,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,1,3.8055933440000445,128,33.634702510137274,34.62228675342846,2322.8271484375,0.10855273800007126,3.697040605999973,0.10855273800007126,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,2,3.749595333999423,128,34.13701709071406,35.1702144974573,2322.8271484375,0.11015207699983876,3.6394432569995843,0.11015207699983876,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,3,3.6676121609998518,128,34.90009149852559,36.03683319879004,2322.8271484375,0.11569073400005436,3.5519214269997974,0.11569073400005436,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1920,128,1,3.8612564300005943,128,33.14983149150245,35.04969899314035,2509.4658203125,0.2092992470002173,3.651957183000377,0.2092992470002173,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1920,128,2,3.8050537469998744,128,33.639472267881274,35.6351554553714,2509.4658203125,0.21309523399986574,3.5919585130000087,0.21309523399986574,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1920,128,3,3.766760111000167,128,33.98145786512879,36.01339526001958,2509.4658203125,0.2125270520000413,3.5542330590001256,0.2125270520000413,False
