model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,8,1,16.128240205000054,128,7.936389734592223,7.966397065015006,2210.3408203125,0.06075085500003752,16.067489350000017,0.06075085500003752,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,8,2,16.081408624000005,128,7.959501744702384,7.988478293149046,2210.3408203125,0.058331974999987324,16.023076649000018,0.058331974999987324,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,8,3,15.912027916,128,8.044229225571703,8.073571902943018,2210.3408203125,0.05783084699999108,15.854197069000008,0.05783084699999108,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,4,1,51.46765962999996,128,2.4869986496411456,2.489914630018429,2207.5908203125,0.06027463099997021,51.40738499899999,0.06027463099997021,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,4,2,51.09456940000007,128,2.505158601062598,2.5098526435171205,2207.5908203125,0.09555942600002254,50.999009974000046,0.09555942600002254,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,4,3,50.46108795700002,128,2.5366080118818304,2.5411860305823977,2207.5908203125,0.09090708099995481,50.37018087600006,0.09090708099995481,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,3,1,15.678919225000186,128,8.163828014108446,8.19416436488339,2210.3408203125,0.05804633300010664,15.62087289200008,0.05804633300010664,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,3,2,15.623405947000037,128,8.192835828129923,8.22274462692145,2210.3408203125,0.056827412999950866,15.566578534000087,0.056827412999950866,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,128,3,3,15.53391044700004,128,8.240037203556803,8.270132063406479,2210.3408203125,0.05652761700002884,15.47738283000001,0.05652761700002884,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,8,1,15.498844630999997,128,8.258680117612183,8.322765723171614,2311.8486328125,0.11934167999993406,15.379502951000063,0.11934167999993406,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,8,2,15.680067439999902,128,8.16323019590283,8.225632867116959,2311.8486328125,0.11895474899995406,15.561112690999948,0.11895474899995406,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,8,3,15.52206868999997,128,8.246323512436424,8.310307419742577,2311.8486328125,0.11950973099999374,15.402558958999975,0.11950973099999374,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,4,1,53.35699049399989,128,2.3989358997748176,2.4042413632563706,2306.3486328125,0.11774340499994196,53.239247088999946,0.11774340499994196,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,4,2,49.83936861299992,128,2.56825083387218,2.5776742075870986,2306.3486328125,0.18220106899991606,49.657167544,0.18220106899991606,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,4,3,49.18184106000001,128,2.602586589709905,2.6108283727250403,2306.3486328125,0.15525572900003226,49.02658533099998,0.15525572900003226,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,3,1,15.173843089999991,128,8.435568974899692,8.499321460389679,2311.8486328125,0.11381734600001892,15.060025743999972,0.11381734600001892,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,3,2,15.097797468000067,128,8.478057827394842,8.546615475744641,2311.8486328125,0.12110870000003615,14.976688768000031,0.12110870000003615,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,128,3,3,15.318347082999935,128,8.355992934906954,8.421988497900967,2311.8486328125,0.12003613399997448,15.19831094899996,0.12003613399997448,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,8,1,15.237190500999986,128,8.400498765937172,8.503831350657117,2412.8564453125,0.18515163500001108,15.052038865999975,0.18515163500001108,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1536,128,8,2,15.294693845999973,128,8.368915474138497,8.472336209388413,2412.8564453125,0.1867003909999312,15.107993455000042,0.1867003909999312,False
