model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,3,1,5.860133881999957,64,10.921252191282354,11.358731694752963,2463.3603515625,0.22570199999995566,5.634431882000001,0.22570199999995566,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,3,2,5.757125248999955,64,11.116659310324568,11.574876708545919,2463.3603515625,0.22790868699996736,5.529216561999988,0.22790868699996736,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,3,3,5.742468871999961,64,11.145032115378342,11.586931653932584,2463.3603515625,0.2190048599999841,5.523464011999977,0.2190048599999841,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,8,1,17.585397137999962,128,7.278766524038695,7.374737054664971,2463.3603515625,0.22884611099999574,17.356551026999966,0.22884611099999574,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,8,2,17.43333528300002,128,7.342255393023858,7.440280336877458,2463.3603515625,0.2296824360000187,17.203652847,0.2296824360000187,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,8,3,17.435779937000007,128,7.341225942429715,7.438562210092114,2463.3603515625,0.22815346499999123,17.207626472000015,0.22815346499999123,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,4,1,56.863776212000005,128,2.25099366462736,2.2601644094265003,2453.7353515625,0.23072798499998726,56.63304822700002,0.23072798499998726,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,4,2,57.556711624,128,2.223893554520348,2.234582475068749,2453.7353515625,0.27531725699998333,57.28139436700002,0.27531725699998333,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,4,3,57.69950972000004,128,2.2183897336589,2.2284204291467544,2453.7353515625,0.25972038499998007,57.43978933500006,0.25972038499998007,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,3,1,17.48177423100003,128,7.3219112836396505,7.41455029553125,2463.3603515625,0.21842110800002956,17.263353123,0.21842110800002956,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,3,2,17.361474326999996,128,7.372645755144112,7.468630757723043,2463.3603515625,0.22312539099993955,17.138348936000057,0.22312539099993955,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,3,3,17.42412252400004,128,7.346137506993101,7.442962490480943,2463.3603515625,0.22666920300002857,17.197453321000012,0.22666920300002857,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,8,1,59.9958720599999,256,4.266960229263487,4.283843447014525,2463.3603515625,0.2364520049999328,59.759420054999964,0.2364520049999328,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,8,2,59.970737136000025,256,4.268748596827318,4.284812718700539,2463.3603515625,0.2248353180000322,59.74590181799999,0.2248353180000322,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,8,3,60.93369495799993,256,4.201287976651578,4.2166959840199345,2463.3603515625,0.22265461500001038,60.71104034299992,0.22265461500001038,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,4,1,216.001370286,256,1.1851776665168336,1.1863883333024121,2453.7353515625,0.22042165899995325,215.78094862700004,0.22042165899995325,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,4,2,217.746567175,256,1.1756786952891718,1.1771834906925036,2453.7353515625,0.27834575999997924,217.46822141500002,0.27834575999997924,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,4,3,213.8330934779999,256,1.197195419269087,1.1986772440951934,2453.7353515625,0.26434404099995845,213.56874943699995,0.26434404099995845,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,3,1,59.422052901999905,256,4.308164856273151,4.323950351993722,2463.3603515625,0.21693277800000033,59.205120123999905,0.21693277800000033,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,3,2,60.16670229500005,256,4.2548451258774405,4.27067916740571,2463.3603515625,0.22307507200002874,59.94362722300002,0.22307507200002874,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,3,3,59.72487374100001,256,4.286321325854236,4.302446258714409,2463.3603515625,0.22384000200008813,59.50103373899992,0.22384000200008813,False
