model_name,device,dtype,input_length,max_new_tokens,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,1,1.153767092999999,32,27.735233734907734,33.90786584573745,2482.5888671875,0.2100332660000106,0.9437338269999884,0.2100332660000106,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,2,1.1427916699999798,32,28.001604176901782,34.341371125131545,2482.5888671875,0.21097098399999936,0.9318206859999805,0.21097098399999936,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,32,3,1.1448826380000128,32,27.950463163543617,34.19634046451906,2482.5888671875,0.20910999200000902,0.9357726460000038,0.20910999200000902,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,1,2.1177487919999862,64,30.2207703962654,33.59690777672496,2482.5888671875,0.21281157499998926,1.904937216999997,0.21281157499998926,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,2,2.1165714140000205,64,30.23758120168932,33.569808435524706,2482.5888671875,0.21009643000002143,1.906474983999999,0.21009643000002143,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,64,3,2.1222790049999958,64,30.15626119337694,33.45371235294516,2482.5888671875,0.20918788599999516,1.9130911190000006,0.20918788599999516,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,1,4.061043426000026,128,31.518993168234882,33.30507561590725,2482.5888671875,0.2177853750000054,3.8432580510000207,0.2177853750000054,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,2,4.045842448000002,128,31.63741585223487,33.397130889691745,2482.5888671875,0.2131778870000005,3.8326645610000014,0.2131778870000005,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,128,3,4.024465777999978,128,31.805463646807706,33.65057524437247,2482.5888671875,0.22066750499999443,3.803798272999984,0.22066750499999443,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,1,7.890627023999997,256,32.44355603443868,33.36781521648035,2482.5888671875,0.21856343999999694,7.672063584,0.21856343999999694,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,2,7.90325508899997,256,32.39171671888838,33.33236467658725,2482.5888671875,0.2230319039999813,7.6802231849999885,0.2230319039999813,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1792,256,3,7.842746255000009,256,32.64162726631524,33.606774164307765,2482.5888671875,0.22523441800001365,7.617511836999995,0.22523441800001365,False
