model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,8,1,2.0174437829998624,32,15.861656354268872,2160.0869140625,0.04442763399993055,1.9730161489999318,0.04442763399993055,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,8,2,1.97190778900017,32,16.227939348130057,2160.0869140625,0.043002386000125625,1.9289054030000443,0.043002386000125625,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,8,3,1.9887865140001395,32,16.090213692990556,2160.0869140625,0.04377845400017577,1.9450080599999637,0.04377845400017577,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,4,1,4.603023033999989,32,6.951953045560206,2158.7119140625,0.052805998999929216,4.55021703500006,0.052805998999929216,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,4,2,4.666224199999988,32,6.857793073894753,2158.7119140625,0.05544681900005344,4.610777380999934,0.05544681900005344,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,4,3,4.6559632619998865,32,6.872906464097607,2158.7119140625,0.06190196299985473,4.594061299000032,0.06190196299985473,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,3,1,1.9966505410002355,32,16.02684062278088,2160.0869140625,0.04232721100015624,1.9543233300000793,0.04232721100015624,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,3,2,2.0011140599999635,32,15.99109248175518,2160.0869140625,0.04208538900002168,1.9590286709999418,0.04208538900002168,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,3,3,1.9718065879999358,32,16.228772230880203,2160.0869140625,0.04120416099999602,1.9306024269999398,0.04120416099999602,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,8,1,2.0012459600000057,32,15.990038525799152,2210.3408203125,0.052812755000104517,1.9484332049999011,0.052812755000104517,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,8,2,1.9769525030001205,32,16.186529494987088,2210.3408203125,0.054486035000081756,1.9224664680000387,0.054486035000081756,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,8,3,1.9912200290000328,32,16.070549479190415,2210.3408203125,0.05503429300006246,1.9361857359999703,0.05503429300006246,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,4,1,4.647522304999939,32,6.885389224614044,2207.5908203125,0.058299454000007245,4.589222850999931,0.058299454000007245,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,4,2,4.694665118999865,32,6.816247631911426,2207.5908203125,0.082950831999824,4.611714287000041,0.082950831999824,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,4,3,4.656431267000016,32,6.872215687318957,2207.5908203125,0.08256236299985176,4.5738689040001645,0.08256236299985176,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,3,1,1.9944063650000317,32,16.04487458602725,2210.3408203125,0.057331082000018796,1.9370752830000129,0.057331082000018796,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,3,2,1.9889226119996692,32,16.089112671823415,2210.3408203125,0.055148886999859315,1.93377372499981,0.055148886999859315,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,3,3,2.0019782560000294,32,15.984189590518474,2210.3408203125,0.05568797099999756,1.9462902850000319,0.05568797099999756,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,8,1,2.068144059999895,32,15.472809955028772,2311.8486328125,0.11913260200003606,1.949011457999859,0.11913260200003606,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,8,2,2.047743933999982,32,15.626953872837248,2311.8486328125,0.1207089750000705,1.9270349589999114,0.1207089750000705,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,8,3,2.047244168000134,32,15.630768669503377,2311.8486328125,0.11897058099998503,1.9282735870001488,0.11897058099998503,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,4,1,4.6843315540002095,32,6.831284171734905,2306.3486328125,0.12213803300005566,4.562193521000154,0.12213803300005566,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,4,2,4.705659591000085,32,6.8003219062429245,2306.3486328125,0.14368398200008414,4.561975609000001,0.14368398200008414,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,4,3,4.727958899999749,32,6.768248344967994,2306.3486328125,0.13302546899990375,4.594933430999845,0.13302546899990375,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,3,1,2.088034285000049,32,15.325418854412753,2311.8486328125,0.11836501800007682,1.969669266999972,0.11836501800007682,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,3,2,2.0745306329997675,32,15.425175936654192,2311.8486328125,0.12101322799981062,1.9535174049999569,0.12101322799981062,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,3,3,2.08791609900004,32,15.326286346144691,2311.8486328125,0.11906620099989595,1.968849898000144,0.11906620099989595,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,8,1,2.2074901590001446,32,14.496100863477464,2514.3642578125,0.252831125000057,1.9546590340000876,0.252831125000057,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,8,2,2.1919077290001496,32,14.599154689142399,2514.3642578125,0.2548030600000857,1.937104669000064,0.2548030600000857,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,8,3,2.205694523999682,32,14.507902001757254,2514.3642578125,0.25340847499978736,1.9522860489998948,0.25340847499978736,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,4,1,4.8642605909999475,32,6.578594917222918,2503.3642578125,0.26024851499983015,4.604012076000117,0.26024851499983015,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,4,2,4.8422184139999445,32,6.6085412230643685,2503.3642578125,0.26875298799996017,4.573465425999984,0.26875298799996017,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,4,3,4.843345598999804,32,6.607003226573032,2503.3642578125,0.26586250299988023,4.5774830959999235,0.26586250299988023,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,3,1,2.305888709000101,32,13.877512767680845,2514.3642578125,0.25416384499999367,2.051724864000107,0.25416384499999367,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,3,2,2.2169328289999157,32,14.434357045646518,2514.3642578125,0.25204646999986835,1.9648863590000474,0.25204646999986835,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,2048,32,3,3,2.231664563000095,32,14.339072515889853,2514.3642578125,0.25196526800004904,1.9796992950000458,0.25196526800004904,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,8,1,2.1804587850000416,32,14.67581053131412,14.972886460849029,2160.0869140625,0.0432623210000429,2.1371964639999987,0.0432623210000429,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,8,2,2.035508945999993,32,15.720883989669337,16.043840049637218,2160.0869140625,0.0409739780000109,1.9945349679999822,0.0409739780000109,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,8,3,2.4203091840000184,32,13.221451297025594,13.442815080876777,2160.0869140625,0.039855402000000595,2.380453782000018,0.039855402000000595,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,4,1,4.706075537000061,32,6.799720860494039,6.875730072270747,2158.7119140625,0.052024307000010594,4.65405123000005,0.052024307000010594,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,4,2,4.495586297999978,32,7.118092697772556,7.210232637060978,2158.7119140625,0.05744933199997604,4.438136966000002,0.05744933199997604,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,4,3,4.344995127000004,32,7.364795371380394,7.464381397783273,2158.7119140625,0.05796874200001412,4.28702638499999,0.05796874200001412,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,3,1,2.1135970770000654,32,15.140066358068212,15.437172008576951,2160.0869140625,0.040678541000033874,2.0729185360000315,0.040678541000033874,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,3,2,1.9145367369999917,32,16.714226152767807,17.13389147616624,2160.0869140625,0.046893297999986316,1.8676434390000054,0.046893297999986316,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,256,32,3,3,1.9188888170000382,32,16.676317938018066,17.046128145968623,2160.0869140625,0.041629669000030844,1.8772591480000074,0.041629669000030844,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,8,1,1.9890634500000033,32,16.087973463088847,16.546178780254692,2210.3408203125,0.05508217099998092,1.9339812790000224,0.05508217099998092,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,8,2,2.1033021310000777,32,15.214171815051909,15.632612815281805,2210.3408203125,0.05629947200003471,2.047002659000043,0.05629947200003471,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,8,3,2.2379912359999707,32,14.298536779435546,14.665517645357541,2210.3408203125,0.05600211199998739,2.1819891239999833,0.05600211199998739,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,4,1,5.272869042000025,32,6.068802343678584,6.151958540125761,2207.5908203125,0.07127351899998757,5.201595523000037,0.07127351899998757,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,4,2,5.3034472929999765,32,6.0338112612596,6.149333490298179,2207.5908203125,0.09963129400000525,5.203815998999971,0.09963129400000525,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,4,3,4.597711218999962,32,6.959984756711243,7.1022245221217934,2207.5908203125,0.09208063799997035,4.505630580999991,0.09208063799997035,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,3,1,1.9648717520000218,32,16.286050205275508,16.780864636997403,2210.3408203125,0.057937831000003825,1.906933921000018,0.057937831000003825,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,3,2,2.0038607280000065,32,15.969173682014441,16.423266138427785,2210.3408203125,0.05540542500000356,1.948455303000003,0.05540542500000356,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,512,32,3,3,2.089370556999995,32,15.315617372318545,15.73846759643218,2210.3408203125,0.05613575799998216,2.033234799000013,0.05613575799998216,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,8,1,2.0045688069999983,32,15.963532849685826,17.01178493368234,2311.8486328125,0.12351986799995984,1.8810489390000384,0.12351986799995984,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,8,2,1.9909047220000389,32,16.073094631998856,17.09957854011464,2311.8486328125,0.11951356899999155,1.8713911530000473,0.11951356899999155,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,8,3,2.0540817529999913,32,15.578737288943794,16.580256337799266,2311.8486328125,0.12407540399999561,1.9300063489999957,0.12407540399999561,False
TinyLlama/TinyLlama-1.1B-Chat-v1.0,cuda,float16,1024,32,4,1,4.4931571209999674,32,7.121941017917996,7.337232794971876,2306.3486328125,0.1318398649999608,4.361317256000007,0.1318398649999608,False
