model_name,device,dtype,input_length,max_new_tokens,quant_bits,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,model_memory_mb,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,3,3,23.594116568999652,128,5.425081275057334,5.465220099465052,14324.5234375,14852.7109375,0.17328489700003047,23.420831671999622,0.17328489700003047,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,8,1,2.8470328969997354,32,11.239771775634306,12.790441288814732,14324.5234375,15370.7421875,0.34516456599976664,2.5018683309999687,0.34516456599976664,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,8,2,2.845054873999743,32,11.24758622142586,12.798623830533211,14324.5234375,15370.7421875,0.3447860619999119,2.500268811999831,0.3447860619999119,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,8,3,2.8420079940005962,32,11.25964461308735,12.817223081991795,14324.5234375,15370.7421875,0.3453673570002138,2.4966406370003824,0.3453673570002138,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,4,1,6.381689907999771,32,5.014345802024379,5.3076183752221455,14324.5234375,15242.7421875,0.35262041999976645,6.029069488000005,0.35262041999976645,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,4,2,6.410133497999595,32,4.992095720001184,5.303543703136871,14324.5234375,15242.7421875,0.3764319219999379,6.0337015759996575,0.3764319219999379,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,4,3,6.49317974800033,32,4.928247983563811,5.231757529687546,14324.5234375,15242.7421875,0.3766883360003703,6.116491411999959,0.3766883360003703,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,3,1,2.836432165000133,32,11.281778705960521,12.83997179261872,14324.5234375,15370.7421875,0.3442148519998227,2.4922173130003102,0.3442148519998227,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,3,2,2.839268813000217,32,11.270507341003063,12.821128029190307,14324.5234375,15370.7421875,0.34338858099999925,2.495880232000218,0.34338858099999925,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,3,3,2.839820124999733,32,11.268319327092243,12.81854462440079,14324.5234375,15370.7421875,0.3434368819998781,2.4963832429998547,0.3434368819998781,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,8,1,7.604460708999795,64,8.416112917022073,8.817858245946862,14324.5234375,15370.7421875,0.34646242700000585,7.2579982819997895,0.34646242700000585,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,8,2,7.609060883999973,64,8.411024826280023,8.8127212660362,14324.5234375,15370.7421875,0.34683187800010273,7.26222900599987,0.34683187800010273,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,8,3,7.621141391000037,64,8.397692250609458,8.796575434466337,14324.5234375,15370.7421875,0.3455827970001337,7.275558593999904,0.3455827970001337,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,4,1,21.08802591099993,64,3.0348976367017992,3.0864985266732305,14324.5234375,15242.7421875,0.352555134999875,20.735470776000057,0.352555134999875,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,4,2,21.212102537999726,64,3.017145513291259,3.072120496086391,14324.5234375,15242.7421875,0.3795863389996157,20.83251619900011,0.3795863389996157,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,4,3,21.123545152999668,64,3.029794456207159,3.0871973425547714,14324.5234375,15242.7421875,0.3927680439996948,20.730777108999973,0.3927680439996948,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,3,1,7.594607425000049,64,8.427032026609274,8.825390693150991,14324.5234375,15370.7421875,0.342803824999919,7.25180360000013,0.342803824999919,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,3,2,7.569534255000235,64,8.454945554638753,8.857037491135971,14324.5234375,15370.7421875,0.343641843000114,7.225892412000121,0.343641843000114,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,3,3,7.580100650000077,64,8.443159656461733,8.843211115609218,14324.5234375,15370.7421875,0.34291054300001633,7.23719010700006,0.34291054300001633,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,8,1,23.886851213999762,128,5.358596612557327,5.437283209749304,14324.5234375,15370.7421875,0.34568275499987067,23.54116845899989,0.34568275499987067,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,8,2,23.702869391999684,128,5.400190073325183,5.47985515584861,14324.5234375,15370.7421875,0.3445877659996768,23.358281626000007,0.3445877659996768,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,8,3,23.841022287000214,128,5.368897292201875,5.44773265960215,14324.5234375,15370.7421875,0.34500880800032974,23.496013478999885,0.34500880800032974,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,4,1,76.51983807599981,128,1.672768829866967,1.6805278528700984,14324.5234375,15242.7421875,0.3532932719999735,76.16654480399984,0.3532932719999735,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,4,2,76.6614934080003,128,1.6696778827249155,1.6777444734632245,14324.5234375,15242.7421875,0.3685882459999448,76.29290516200035,0.3685882459999448,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,4,3,76.62367328599976,128,1.6705020068959215,1.6789425290640312,14324.5234375,15242.7421875,0.38520902399977786,76.23846426199998,0.38520902399977786,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,3,1,23.74315179899986,128,5.391028161871575,5.469914910658338,14324.5234375,15370.7421875,0.3424221549998947,23.400729643999966,0.3424221549998947,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,3,2,23.823855013999946,128,5.372766075212494,5.451310719397086,14324.5234375,15370.7421875,0.3432635399999526,23.480591473999993,0.3432635399999526,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,3,3,23.725099725999826,128,5.395130114447003,5.474253993787398,14324.5234375,15370.7421875,0.3429183099997317,23.382181416000094,0.3429183099997317,False
