model_name,device,dtype,input_length,max_new_tokens,trial,total_time_sec,generated_tokens,tokens_per_sec,decode_tokens_per_sec,model_memory_mb,peak_memory_mb,prefill_sec,decode_sec,ttft_sec,oom
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,1,0.4928519499999311,32,64.92822033067836,64.92822033067836,14324.5234375,32170.04541015625,0.052332401275634766,0.44051954872429633,0.052332401275634766,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,2,0.486481141999775,32,65.77850041310502,65.77850041310502,14324.5234375,32170.04541015625,0.046608686447143555,0.43987245555263144,0.046608686447143555,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,32,3,0.48539310299975114,32,65.92594703599735,65.92594703599735,14324.5234375,32170.04541015625,0.0465238094329834,0.43886929356676774,0.0465238094329834,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,1,0.9353398819998802,64,68.42432492364118,68.42432492364118,14324.5234375,32170.04541015625,0.04626750946044922,0.8890723725394309,0.04626750946044922,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,2,0.9363231689999338,64,68.35246859090007,68.35246859090007,14324.5234375,32170.04541015625,0.04631447792053223,0.8900086910794016,0.04631447792053223,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,64,3,0.9353317509999215,64,68.42491974807918,68.42491974807918,14324.5234375,32170.04541015625,0.04634594917297363,0.8889858018269479,0.04634594917297363,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,1,1.8357943589999195,128,69.72458509444935,69.72458509444935,14324.5234375,32170.04541015625,0.04606223106384277,1.7897321279360767,0.04606223106384277,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,2,1.8388692879998416,128,69.60799271340652,69.60799271340652,14324.5234375,32170.04541015625,0.0464322566986084,1.7924370313012332,0.0464322566986084,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,512,128,3,1.8393193819997578,128,69.59095916275015,69.59095916275015,14324.5234375,32170.04541015625,0.04636955261230469,1.792949829387453,0.04636955261230469,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,1,0.5235138259999985,32,61.125415243570075,61.125415243570075,14324.5234375,32228.05712890625,0.07731938362121582,0.4461944423787827,0.07731938362121582,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,2,0.5231091020000349,32,61.172707333235934,61.172707333235934,14324.5234375,32228.05712890625,0.07730960845947266,0.44579949354056225,0.07730960845947266,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,32,3,0.5208977739998772,32,61.43239921007522,61.43239921007522,14324.5234375,32228.05712890625,0.07727503776550293,0.4436227362343743,0.07727503776550293,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,1,0.9777719429998797,64,65.45493604944632,65.45493604944632,14324.5234375,32228.05712890625,0.07726716995239258,0.9005047730474871,0.07726716995239258,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,2,0.9772406070001125,64,65.4905245868407,65.4905245868407,14324.5234375,32228.05712890625,0.07732248306274414,0.8999181239373684,0.07732248306274414,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,64,3,0.9779627559996698,64,65.44216495706878,65.44216495706878,14324.5234375,32228.05712890625,0.07745933532714844,0.9005034206725213,0.07745933532714844,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,1,1.8962161300000844,128,67.50285369632115,67.50285369632115,14324.5234375,32228.05712890625,0.07754278182983398,1.8186733481702504,0.07754278182983398,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,2,1.8940588359996582,128,67.57973805625915,67.57973805625915,14324.5234375,32228.05712890625,0.07742738723754883,1.8166314487621094,0.07742738723754883,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,1024,128,3,1.898260030000074,128,67.43017182951222,67.43017182951222,14324.5234375,32228.05712890625,0.07762718200683594,1.820632847993238,0.07762718200683594,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,1,0.5923397179999483,32,54.02305303458106,54.02305303458106,14324.5234375,32344.08056640625,0.14419293403625488,0.44814678396369345,0.14419293403625488,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,2,0.5905268339997747,32,54.188900753682276,54.188900753682276,14324.5234375,32344.08056640625,0.14403843879699707,0.4464883952027776,0.14403843879699707,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,32,3,0.5909536859999207,32,54.149759546477036,54.149759546477036,14324.5234375,32344.08056640625,0.14378833770751953,0.4471653482924012,0.14378833770751953,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,1,1.0537732439997853,64,60.734128869201996,60.734128869201996,14324.5234375,32344.08056640625,0.14453887939453125,0.9092343646052541,0.14453887939453125,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,2,1.0524704180002118,64,60.809310081708276,60.809310081708276,14324.5234375,32344.08056640625,0.1443326473236084,0.9081377706766034,0.1443326473236084,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,64,3,1.0503805429998465,64,60.93029847755791,60.93029847755791,14324.5234375,32344.08056640625,0.14435148239135742,0.9060290606084891,0.14435148239135742,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,1,1.97250423100013,128,64.89212950133924,64.89212950133924,14324.5234375,32344.08056640625,0.1448805332183838,1.8276236977817462,0.1448805332183838,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,2,1.9731626439997854,128,64.87047602955427,64.87047602955427,14324.5234375,32344.08056640625,0.14441823959350586,1.8287444044062795,0.14441823959350586,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,2048,128,3,1.973688036999647,128,64.85320759940488,64.85320759940488,14324.5234375,32344.08056640625,0.14484047889709473,1.8288475581025523,0.14484047889709473,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,1,0.7380117779998727,32,43.35974161106887,43.35974161106887,14324.5234375,32576.12744140625,0.28719067573547363,0.4508211022643991,0.28719067573547363,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,2,0.738302492999992,32,43.34266821986791,43.34266821986791,14324.5234375,32576.12744140625,0.28693675994873047,0.4513657330512615,0.28693675994873047,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,32,3,0.7368361660001028,32,43.42892148428493,43.42892148428493,14324.5234375,32576.12744140625,0.2865629196166992,0.4502732463834036,0.2865629196166992,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,1,1.2003632890000517,64,53.31719204218119,53.31719204218119,14324.5234375,32576.12744140625,0.28574538230895996,0.9146179066910918,0.28574538230895996,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,2,1.2026297320003323,64,53.216711924749184,53.216711924749184,14324.5234375,32576.12744140625,0.2870347499847412,0.9155949820155911,0.2870347499847412,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,64,3,1.205959206999978,64,53.0697884542965,53.0697884542965,14324.5234375,32576.12744140625,0.2868845462799072,0.9190746607200708,0.2868845462799072,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,1,2.1315812440002446,128,60.049318016979754,60.049318016979754,14324.5234375,32576.12744140625,0.28763246536254883,1.8439487786376958,0.28763246536254883,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,2,2.124557366999852,128,60.247843615892776,60.247843615892776,14324.5234375,32576.12744140625,0.28675389289855957,1.8378034741012925,0.28675389289855957,False
mistralai/Mistral-7B-Instruct-v0.2,cuda,float16,4096,128,3,2.132215096999971,128,60.03146689097931,60.03146689097931,14324.5234375,32576.12744140625,0.2869422435760498,1.8452728534239213,0.2869422435760498,False
